current_date.year,current_date.month,cycle,machine_time,runTime,totalNFlows,totalCFlows,TT,CThroughflow
2020,12,1442,1687228525013.0,0.0,4002.8910963692224,234430.05477184406,1123.0962210467471,10872.043995295768
2021,1,2930,1687228553118.0,0.0,11843.3987563264,605938.2495853455,3323.697647462357,28753.930329881558
2021,2,4418,1687228578597.0,0.0,22803.651808232935,1110752.6729911556,6528.237013051221,50495.37900549235
2021,3,5762,1687228621072.0,0.0,34934.79887885036,1739939.573377125,10584.859193447373,73522.90165237313
2021,4,7250,1687228681437.0,0.0,48354.28133525457,2489740.56207667,15577.241031137843,97598.7645844189
2021,5,8690,1687228757135.0,0.0,64799.50348963717,3362729.47961386,23000.14302116537,129067.95106573714
2021,6,10178,1687228868746.0,0.0,82741.2633641371,4353982.114836299,31753.74435425455,167082.68102216505
2021,7,11618,1687229049062.0,0.0,276641.1477098715,5491169.608896114,119104.20272026054,211582.83211205638
2021,8,13106,1687229058786.0,0.0,502463.985843364,6955719.91906299,238367.5460956829,257295.2112001977
2021,9,14594,1687229067183.0,0.0,760213.7560561695,8744456.596182872,389547.5572140495,304432.4282471388
2021,10,16034,1687229075178.0,0.0,1049839.1770495912,10854178.94034834,572594.2975380858,352023.7978468299
2021,11,17522,1687229084650.0,0.0,1398010.4311068554,13862617.681696452,812935.5100509649,969193.8358308235
2021,12,18962,1687229103828.0,0.0,1750545.8279891033,16971318.834232416,1054257.7623882163,1589918.0208958122
2022,1,20450,1687229135538.0,0.0,2107564.409844493,20181106.531634495,1296805.5758652347,2228949.1214940543
2022,2,21938,1687229167632.0,0.0,2469625.705019128,23483573.66542431,1540569.8529844102,2886201.406251201
2022,3,23282,1687229195893.0,0.0,2835756.4788846886,26860249.88885454,1785426.5246481975,3559463.196648336
2022,4,24770,1687229227319.0,0.0,3206388.4572076164,30300496.782020442,2031488.554192644,4249918.721968073
2022,5,26210,1687229257440.0,0.0,3585787.03155384,33822731.460724905,2281677.880874554,4962675.5368473325
2022,6,27698,1687229288333.0,0.0,3970310.303369333,37409530.96629683,2533477.601962639,5696918.098335212
2022,7,29138,1687229328401.0,0.0,4538629.710836456,41155072.21010846,2864131.9757232848,6451884.173135635
2022,8,30626,1687229338155.0,0.0,5140514.576959057,45163732.45603245,3228342.503479908,7207354.612957959
2022,9,32114,1687229346568.0,0.0,5775965.390224583,49433472.13468284,3626109.649707734,7963341.424789632
2022,10,33554,1687229354323.0,0.0,6444951.652520604,53962148.235311866,4057403.2374315565,8719817.701643206
2022,11,35042,1687229363829.0,0.0,7171462.370504841,59262929.45894763,4544969.919968596,9980421.36745511
2022,12,36482,1687229393377.0,0.0,7902582.198129658,64627604.23881401,5033723.324932373,11262119.256901165
2023,1,37970,1687229424546.0,0.0,8638197.278254544,70036965.48929249,5523687.62948735,12562952.183047352
2023,2,39458,1687229455710.0,0.0,9378895.387545383,75479221.97173415,6014868.384074029,13883126.692754103
2023,3,40802,1687229483924.0,0.0,10123708.917309666,80940441.76632334,6507146.434385936,15220380.407367352
2023,4,42290,1687229515248.0,0.0,10873088.313754242,86390747.92422526,7000648.38872854,16577768.996018304
2023,5,43730,1687229545646.0,0.0,11631075.678767296,91854054.14757095,7498274.599753032,17959478.726490445
2023,6,45218,1687229577269.0,0.0,12393953.325521823,97303616.90838593,7997506.41234723,19364952.872696996
2023,7,46658,1687229617179.0,0.0,13337098.180104952,102894449.93087558,8575588.129950576,20792937.461350508
2023,8,48146,1687229627174.0,0.0,14313891.678636247,108762340.77308474,9187309.212879252,22221415.244556516
2023,9,49634,1687229635210.0,0.0,15324333.864928115,114906043.97498083,9832669.702792013,23650386.578710523
2023,10,51074,1687229643299.0,0.0,16368395.746554416,121324102.86595577,10511640.854386004,25079860.235546827
2023,11,52562,1687229652958.0,0.0,17472945.031311795,128594365.39969929,11249848.020634418,27077511.044886794
2023,12,54002,1687229682793.0,0.0,18582072.59290928,135904895.93734813,11989242.753535153,29096375.680422146
2024,1,55490,1687229713271.0,0.0,19695687.678867992,143223222.3127192,12729869.973928487,31137476.38007646
2024,2,56978,1687229743759.0,0.0,20814321.296316005,150527219.25414234,13471726.264371848,33200667.867193803
2024,3,58370,1687229772132.0,0.0,21937117.8042187,157789909.00222665,14214732.699080626,35284486.07556481
2024,4,59858,1687229802814.0,0.0,23064363.97025343,164979427.7150608,14958968.28626681,37390257.547276966
2024,5,61298,1687229832695.0,0.0,24200245.238876484,172132341.9484146,15707348.427165097,39521956.02472435
2024,6,62786,1687229863366.0,0.0,25341091.909686547,179217734.4461893,16457342.281118583,41678602.82281939
2024,7,64226,1687229902665.0,0.0,26661234.36686772,186425695.5100238,17286193.618686702,43859527.234629594
2024,8,65714,1687229912090.0,0.0,28015809.305350225,193911204.91926673,18149468.19872056,46040926.20681899
2024,9,67202,1687229919745.0,0.0,29404816.15632378,201673638.01517814,19047165.480370466,48222787.079008386
2024,10,68642,1687229927336.0,0.0,30828224.910163384,209711994.10856146,19979255.751136422,50405094.95119778
2024,11,70130,1687229936776.0,0.0,32316245.46406408,218687095.05820814,20974706.461088467,53238097.53680704
2024,12,71570,1687229966416.0,0.0,33808722.3788774,227682178.1175229,21971342.649661217,56092294.61837739
2025,1,73058,1687229996991.0,0.0,35305567.62020127,236667691.74195832,22969207.19784365,58968549.518886626
2025,2,74546,1687230027564.0,0.0,36807327.9722552,245620160.62902945,23968298.412215963,61866825.760882124
2025,3,75890,1687230055047.0,0.0,38313069.204469405,254517839.33638102,24968499.79202082,64785037.119842805
2025,4,77378,1687230085528.0,0.0,39823215.19422501,263326234.18433034,25969927.768104017,67725112.46500695
2025,5,78818,1687230115232.0,0.0,41342040.33362069,272039753.4823563,26975497.963768106,70693857.31133184
2025,6,80306,1687230145959.0,0.0,42865930.343614526,280624930.92466307,27982693.460316848,73690154.85503305
2025,7,81746,1687230185342.0,0.0,44573558.09734308,289316920.3150549,29068759.60129967,76712932.0251167
2025,8,83234,1687230195179.0,0.0,46317700.14692122,298211464.5588127,30191330.726353206,79736217.91823058
2025,9,84722,1687230203196.0,0.0,48098356.401260845,307308475.2668625,31350406.748866912,82760009.78507465
2025,10,86162,1687230211034.0,0.0,49915496.373014845,316607187.0160217,32545957.502101723,85784282.81456979
2025,11,87650,1687230220451.0,0.0,51791843.962267525,326592506.26382023,33799464.3931277,89283084.26281182
2025,12,89090,1687230250045.0,0.0,53672993.840646,336584069.1342837,35054166.55936936,92803464.8717368
