current_date.year,current_date.month,cycle,machine_time,runTime,totalNFlows,totalCFlows,TT,CThroughflow
2020,12,1442,1687228525008.0,0.0,4001.6024024611625,234410.05112323887,1121.8708745417468,10813.751963845758
2021,1,2930,1687228552964.0,0.0,11841.5090229835,605935.6115847678,3321.900806387357,28700.71011133154
2021,2,4418,1687228578647.0,0.0,22801.983641697014,1110754.6881111553,6525.357967133389,50421.15276739734
2021,3,5762,1687228621363.0,0.0,34935.6859727295,1739955.0444569685,10580.58764181087,73414.86005092307
2021,4,7250,1687228681438.0,0.0,48360.38222741569,2489755.97944742,15571.304554874234,97439.96156201877
2021,5,8690,1687228757151.0,0.0,64867.812905213985,3362883.6972260224,22994.32263110443,128915.7729832839
2021,6,10178,1687228868659.0,0.0,82945.26060491914,4354388.923289586,31749.841418703443,167012.9573878838
2021,7,11618,1687229049072.0,0.0,277053.93490578554,5492164.307120862,119103.82472278165,211694.5049908634
2021,8,13106,1687229058788.0,0.0,503084.74800994317,6953369.992092775,238369.91196059488,257570.45184739298
2021,9,14594,1687229067171.0,0.0,761044.6057121222,8734773.732225602,389554.6694636695,304971.78111852234
2021,10,16034,1687229075194.0,0.0,1050881.0987736885,10833227.745553652,572607.0862001299,352877.1264530017
2021,11,17522,1687229084675.0,0.0,1398907.363851622,13817733.89552423,812597.9140779574,961661.8058821727
2021,12,18962,1687229103927.0,0.0,1751204.3485104123,16888886.657597203,1053682.3511928297,1583834.3311923835
2022,1,20450,1687229135543.0,0.0,2107778.459719632,20053948.933919378,1295989.6389234655,2224308.133536556
2022,2,21938,1687229167679.0,0.0,2469199.2653596806,23304838.494833678,1539502.304123993,2882094.934065657
2022,3,23282,1687229195782.0,0.0,2834604.843660305,26625502.9990486,1784101.8569428772,3555693.540510626
2022,4,24770,1687229227133.0,0.0,3204423.319322393,30004872.818257798,2029905.8761588759,4246482.40440373
2022,5,26210,1687229257435.0,0.0,3582708.4806056037,33461333.713478543,2279834.5795449256,4959617.866395205
2022,6,27698,1687229288324.0,0.0,3965755.074312813,36980157.59537992,2531361.360004626,5693495.051571628
2022,7,29138,1687229328442.0,0.0,4532237.141267903,40656617.836121246,2861732.6162606445,6447729.730798611
2022,8,30626,1687229338178.0,0.0,5132288.502807926,44603619.62810707,3225663.837394066,7202480.116637195
2022,9,32114,1687229346530.0,0.0,5765908.447920138,48818928.747191004,3623154.3473428893,7957730.383613379
2022,10,33554,1687229354374.0,0.0,6433067.058067626,53300518.570130646,4054174.520217651,8713468.38102721
2022,11,35042,1687229363852.0,0.0,7158569.114374158,58580273.563230164,4542286.750415864,9991972.69989525
2022,12,36482,1687229393495.0,0.0,7888612.956498846,63921324.872930795,5031586.876149616,11291768.66738314
2023,1,37970,1687229424546.0,0.0,8623114.527614959,69309737.22540513,5522124.761911017,12611340.416302886
2023,2,39458,1687229455702.0,0.0,9362508.909230545,74731638.52597266,6013886.06331592,13950322.218896735
2023,3,40802,1687229483902.0,0.0,10105717.184871046,80177892.5688728,6506738.705861615,15305445.535476837
2023,4,42290,1687229515109.0,0.0,10853155.53054332,85625307.34465502,7000806.792600448,16679556.741284829
2023,5,43730,1687229545698.0,0.0,11609097.394982863,91082632.9565777,7499006.2912415285,18078599.34228359
2023,6,45218,1687229577266.0,0.0,12369954.877068682,96527536.47382252,7998817.5332294125,19501423.869574077
2023,7,46658,1687229617177.0,0.0,13311104.796335474,102112707.07829234,8577484.749593817,20947356.304721393
2023,8,48146,1687229627220.0,0.0,14285912.165833822,107943560.29828903,9189800.08899485,22393804.03068556
2023,9,49634,1687229635249.0,0.0,15294376.45326387,114018850.2808471,9835763.045298532,23840754.684083626
2023,10,51074,1687229643236.0,0.0,16336467.918801574,120337142.55108379,10515344.162543409,25288199.576306686
