current_date.year,current_date.month,cycle,machine_time,runTime,totalNFlows,totalCFlows,TT,CThroughflow
2020,12,1442,1687214026595.0,0.0,4002.334011208122,234433.61658936559,1122.566520121747,10871.588685145754
2021,1,2930,1687214054692.0,0.0,11842.826073949122,605954.7549457503,3323.153116022357,28775.53916368158
2021,2,4418,1687214080371.0,0.0,22771.585013768974,1110590.7634820992,6524.466028173039,50366.4130339224
2021,3,5762,1687214121991.0,0.0,34814.51050317796,1739556.1139408043,10576.194559003368,73195.41868552315
2021,4,7250,1687214183683.0,0.0,48082.96831143669,2489061.442848946,15561.83915286224,97006.13586701885
2021,5,8690,1687214253988.0,0.0,64351.30381249316,3361694.1295122816,22977.785507384873,128185.51759190917
2021,6,10178,1687214368081.0,0.0,82114.43381708111,4352601.136443229,31725.37306052161,165908.0789983443
2021,7,11618,1687214560663.0,0.0,275834.7555422124,5489168.750392342,119071.42408764691,210129.47392994596
2021,8,13106,1687214570339.0,0.0,501477.82589802484,6936324.522126263,238330.17584115663,255542.40431434757
2021,9,14594,1687214578631.0,0.0,759053.932496199,8690795.849003,389511.41023197514,302622.01386989903
2021,10,16034,1687214586387.0,0.0,1048510.0436281431,10749569.111060044,572563.5243565775,350341.5379910504
2021,11,17522,1687214595790.0,0.0,1394688.969837592,13648924.103273407,811087.0926836858,926260.3147156915
2021,12,18962,1687214615456.0,0.0,1745403.6141641045,16647954.408593755,1050762.6257106937,1520324.8867689585
2022,1,20450,1687214646857.0,0.0,2100577.3117577527,19736444.52484007,1291648.2417909356,2131959.474472851
2022,2,21938,1687214677988.0,0.0,2460663.3803960476,22903809.350443687,1533736.8330739788,2761491.0388302305
2022,3,23282,1687214706301.0,0.0,2824592.828190208,26133579.94531489,1776908.548253472,3406959.3668458755
2022,4,24770,1687214737637.0,0.0,3192781.418102807,29407676.149494924,2021283.2133916402,4070534.3105115797
2022,5,26210,1687214767931.0,0.0,3569465.1168111274,32754199.446060427,2269772.0037416327,4756116.18952716
2022,6,27698,1687214799046.0,0.0,3951041.9912459124,36156564.523964144,2519859.9129727343,5462870.294593768
2022,7,29138,1687214838603.0,0.0,4516179.172732571,39717074.61486921,2848786.9105728045,6189469.699048845
2022,8,30626,1687214848462.0,0.0,5114885.795799777,43562557.96349981,3211274.0699183876,6916562.331294771
2022,9,32114,1687214856702.0,0.0,5747163.147572539,47690965.28972339,3607322.6148642073,7644176.7365839975
2022,10,33554,1687214864599.0,0.0,6412979.666048041,52100142.24750379,4036901.35684158,8372263.462631623
2022,11,35042,1687214873901.0,0.0,7138878.326915334,57360232.216436006,4525310.85237515,9661447.857052643
2022,12,36482,1687214903791.0,0.0,7869356.691849708,62683550.07767833,5014908.298682453,10971822.107375178
2023,1,37970,1687214934823.0,0.0,8604335.325392636,68059513.41473348,5505749.416845532,12301288.043390783
2023,2,39458,1687214966055.0,0.0,9344439.277674839,73475968.08558038,5997832.134673108,13649940.002027575
2023,3,40802,1687214994234.0,0.0,10088750.057814967,78917901.44523066,6491030.771836041,15015355.033205738
2023,4,42290,1687215025449.0,0.0,10837717.91222075,84366677.33027998,6985464.429819887,16399946.897790877
2023,5,43730,1687215055916.0,0.0,11595485.06339266,89825549.61105965,7484042.939133098,17809907.499174893
2023,6,45218,1687215087572.0,0.0,12358346.007431133,95275726.48791969,7984244.93328199,19244030.966914352
2023,7,46658,1687215127667.0,0.0,13301668.602882218,100870036.59752248,8563306.283288812,20699342.125903472
2023,8,48146,1687215137387.0,0.0,14278649.76656068,106731673.30968256,9176016.977385605,22155121.39628369
2023,9,49634,1687215145715.0,0.0,15289291.631504757,112859282.32625192,9822379.043758368,23611416.25447701
2023,10,51074,1687215153529.0,0.0,16333562.846261533,119251409.9957919,10502361.494038457,25068182.140800126
2023,11,52562,1687215163303.0,0.0,17437220.555930972,126460773.72074455,11240479.038568974,27068024.14074042
2023,12,54002,1687215193072.0,0.0,18545369.205103744,133714524.33621553,11979782.833258929,29089077.10580964
2024,1,55490,1687215223579.0,0.0,19657919.36124399,140982848.6640489,12720315.733985286,31132207.075929236
2024,2,56978,1687215253993.0,0.0,20775317.475808326,148240664.88365233,13462073.224522537,33197248.46310555
2024,3,58370,1687215282778.0,0.0,21896653.62910362,155463736.31720537,14204974.009679548,35282649.710017964
2024,4,59858,1687215313371.0,0.0,23022199.991811868,162621395.43855572,14949097.490565797,37389859.43606566
2024,5,61298,1687215343175.0,0.0,24156272.84246164,169725857.0818151,15697353.616089525,39523627.74775717
2024,6,62786,1687215373867.0,0.0,25295284.422622655,176770294.71365416,16447214.797204725,41681786.25581621
2024,7,64226,1687215412544.0,0.0,26613574.18191477,183936479.0146498,17275932.871477805,43864294.31119372
2024,8,65714,1687215422130.0,0.0,27966310.03535194,191391235.35512087,18139087.780089892,46047286.42223483
2024,9,67202,1687215429859.0,0.0,29353490.987516277,199133947.11897558,19036678.576554146,48230740.433275945
2024,10,68642,1687215437534.0,0.0,30775087.02878277,207163614.04555374,19968675.548370555,50414641.44431706
2024,11,70130,1687215446606.0,0.0,32262325.17535861,216165609.97270703,20965063.264621306,53273789.477725506
2024,12,71570,1687215476351.0,0.0,33754078.03449659,225187291.0896453,21962637.457682054,56154141.46398176
2025,1,73058,1687215506746.0,0.0,35250255.910269365,234199074.63603398,22961441.642039485,59056620.16899259
2025,2,74546,1687215537430.0,0.0,36751435.14414546,243178429.04205966,23961474.357319076,61981173.394786194
2025,3,75890,1687215564908.0,0.0,38256685.64636629,252103254.3538448,24962618.87377582,64925672.47977895
2025,4,77378,1687215595601.0,0.0,39766442.485046424,260939902.2915484,25964993.229755577,67892167.73666911
2025,5,78818,1687215625169.0,0.0,41284885.022914276,269680095.9775897,26971510.11257603,70887336.26752837
2025,6,80306,1687215655973.0,0.0,42808353.18565043,278286951.2614953,27979655.05861065,73910335.19619133
2025,7,81746,1687215698945.0,0.0,44515517.02367455,287001172.9715538,29066670.68809012,76959854.41208495
2025,8,83234,1687215708389.0,0.0,46259207.60689146,295956190.8566798,30190203.78897603,80009864.01383176
2025,9,84722,1687215716338.0,0.0,48039425.74470405,305151885.6503965,31350255.13088404,83060382.6356051
2025,10,86162,1687215724553.0,0.0,49856140.56696996,314587584.3743487,32546794.18309662,86111376.32743686
2025,11,87650,1687215733843.0,0.0,51736420.3318079,324845901.6820254,33805646.78976354,89734567.45282362
2025,12,89090,1687215763576.0,0.0,53621235.09815874,335110467.3936145,35065687.65179073,93379078.945385
2026,1,90578,1687215793949.0,0.0,55510492.81244192,345350164.89236915,36326958.75333859,97045708.97661044
2026,2,92066,1687215824457.0,0.0,57404747.873416625,355541464.4506495,37589457.74721117,100734359.69930016
2026,3,93410,1687215852083.0,0.0,59303042.65190386,365663869.81689423,38853068.05060278,104442963.63077609
2026,4,94898,1687215882538.0,0.0,61205809.040960886,375684939.85262376,40117907.844474435,108173582.29624735
2026,5,96338,1687215912304.0,0.0,63117209.61432809,385598380.5363428,41386888.97538551,111932861.49087079
2026,6,97826,1687215943162.0,0.0,65033584.12680748,395363861.11105734,42657495.761433534,115719868.68004274
2026,7,99266,1687215981722.0,0.0,67130311.31101426,405227869.13531953,44006974.221234284,119533570.27280973
2026,8,100754,1687215991412.0,0.0,69263762.05502087,415316090.0625441,45393167.02995984,123347733.7655767
2026,9,102242,1687215999499.0,0.0,71433939.20287828,425628558.38660747,46816076.89185822,127162422.4602397
2026,10,103682,1687216007605.0,0.0,73640812.28914554,436164820.61779445,48275673.6610197,130977611.72391729
2026,11,105170,1687216017796.0,0.0,75909383.60394675,447460917.19210833,49795717.20249064,135318142.9784043
2026,12,106610,1687216046954.0,0.0,78182582.84936367,458754503.6984324,51316951.740916796,139680115.94665638
2027,1,108098,1687216077396.0,0.0,80460314.18705659,470015234.7393216,52839419.139863215,144064301.56249282
2027,2,109586,1687216107859.0,0.0,82743122.00356472,481220219.90401906,54363117.23496914,148470650.7218808
2027,3,110930,1687216135656.0,0.0,85029999.68358134,492349303.51091707,55887927.48165832,152896972.40235367
2027,4,112418,1687216165964.0,0.0,87321383.39129445,503368066.52656084,57413969.141134,157345413.8364155
2027,5,113858,1687216195666.0,0.0,89621388.60176495,514270577.89121544,58944151.39683376,161822489.71551633
2027,6,115346,1687216226568.0,0.0,91926332.79874414,525021309.14488,60475956.9163699,166327147.74785686
2027,7,116786,1687216264114.0,0.0,94410649.51293993,535864802.460501,62086628.78013557,170858092.99734423
2027,8,118274,1687216273845.0,0.0,96932476.09605055,546888069.8086947,63734801.25552264,175389521.88670045
2027,9,119762,1687216281575.0,0.0,99491811.60377263,558091424.4559435,65420473.44464618,179921412.67605668
2027,10,121202,1687216289319.0,0.0,102088628.96162032,569474499.3696324,67143618.42586476,184453816.51660895
2027,11,122690,1687216298449.0,0.0,104745112.3982301,581518739.8303992,68925177.98068993,189457028.0435363
2027,12,124130,1687216328081.0,0.0,107406260.52733597,593556936.5675693,70707929.43407945,194481708.25811696
2028,1,125618,1687216358710.0,0.0,110071976.00916037,605557181.0004581,72491914.60530864,199528616.9245978
2028,2,127106,1687216389099.0,0.0,112742827.76451173,617499999.3350898,74277131.42076176,204597693.77857053
2028,3,128498,1687216417638.0,0.0,115417966.91968162,629358632.3437566,76063502.37978274,209687555.46317682
2028,4,129986,1687216448573.0,0.0,118097688.83942272,641102105.3447875,77851106.77611761,214799611.35448986
2028,5,131426,1687216477886.0,0.0,120786063.40058762,652727162.2089211,79642860.08094008,219940223.127521
2028,6,132914,1687216508580.0,0.0,123479372.34920524,664194792.2566648,81436236.98415363,225108473.90827563
2028,7,134354,1687216546992.0,0.0,126356183.0313917,675751522.9605902,83308479.78590073,230303147.10483465
2028,8,135842,1687216556593.0,0.0,129272585.60764891,687498447.0847968,85220305.17298152,235498326.51272085
2028,9,137330,1687216564286.0,0.0,132228579.7935718,699436022.499747,87171712.87497118,240694005.80174467
2028,10,138770,1687216572492.0,0.0,135224134.44191498,711564092.673835,89162672.09767053,245890144.7511477
2028,11,140258,1687216581886.0,0.0,138282283.31785148,724375057.6511391,91214974.05499326,251567854.88638997
2028,12,141698,1687216611634.0,0.0,141345222.49289238,737176204.2709832,93268470.58932744,257267093.75034285
2029,1,143186,1687216642052.0,0.0,144412850.51249614,749935966.4655737,95323204.35034066,262988697.18995005
2029,2,144674,1687216672520.0,0.0,147485611.87926608,762633853.206922,97379169.46898407,268732443.61074126
2029,3,146018,1687216700063.0,0.0,150562338.9648855,775249494.7694783,99436243.82650977,274496072.42479783
2029,4,147506,1687216730468.0,0.0,153643456.26819408,787749316.429422,101494545.88997564,280281681.4648933
2029,5,148946,1687216760307.0,0.0,156733262.02248806,800126470.1239258,103556990.89170487,286096070.04716426
2029,6,150434,1687216791053.0,0.0,159828157.45883363,812341218.3663564,105621066.2386463,291938464.8684002
2029,7,151874,1687216828717.0,0.0,163103519.78200993,824642616.1303892,107764016.58253749,297807726.54341537
2029,8,153362,1687216838515.0,0.0,166418672.922536,837110866.0059172,109946748.38844039,303677515.5303896
2029,9,154850,1687216846553.0,0.0,169773615.07917953,849746525.9325947,112169259.9436646,309547791.7381223
2029,10,156290,1687216854797.0,0.0,173168316.10011306,862549552.0608801,114431521.40049767,315418537.1015186
2029,11,157778,1687216864792.0,0.0,176622726.2199395,875944466.9000721,116752240.47831087,321702935.8806175
2029,12,159218,1687216894366.0,0.0,180081648.35893205,889326392.6019719,119074147.36372893,328008655.6454491
2030,1,160706,1687216924763.0,0.0,183544991.07569084,902663856.7423112,121397283.75347063,334336463.377802
2030,2,162194,1687216955757.0,0.0,187013288.14149553,915937754.4619062,123721646.70137192,340686231.69621575
2030,3,163538,1687216983031.0,0.0,190485572.94437566,929124728.19002,126047120.43291,347055978.7168283
2030,4,165026,1687217013339.0,0.0,193962270.85800067,942192037.4038196,128373822.16934724,353447693.95330244
2030,5,166466,1687217043234.0,0.0,197447702.10264027,955132460.7381939,130704669.66197212,359868381.1183105
2030,6,167954,1687217073975.0,0.0,200938268.69455624,967907594.1063786,133037148.93618998,366317138.50348246
2030,7,169394,1687217113336.0,0.0,204608405.55962524,980766863.2996992,135448504.55854753,372792823.2811841
2030,8,170882,1687217123214.0,0.0,208319118.6455261,993883335.6101893,137900427.07901958,379269020.6004025
2030,9,172370,1687217130918.0,0.0,212070406.67243585,1007257614.2618724,140392915.28069445,385745701.97528446
2030,10,173810,1687217138578.0,0.0,215862240.57503286,1020889571.4175038,142925940.34895712,392222874.2456988
2030,11,175298,1687217147705.0,0.0,219725932.96884435,1035466022.6122856,145529572.4496972,399375931.9903172
2030,12,176738,1687217177366.0,0.0,223594257.21854976,1050028627.871,148134394.41497657,406550327.84488183
2031,1,178226,1687217207789.0,0.0,227467118.26026607,1064548389.9313284,150740449.0423681,413746915.18174165
2031,2,179714,1687217238347.0,0.0,231345064.51358473,1079002821.6069825,153347734.19014323,420965640.96774036
2031,3,181058,1687217266038.0,0.0,235227091.99723074,1093369626.3814728,155956132.18045476,428204390.7243751
2031,4,182546,1687217296680.0,0.0,239113636.31520376,1107616022.0096843,158565760.65787774,435465175.3657435
