current_date.year,current_date.month,cycle,machine_time,runTime,totalNFlows,totalCFlows,TT,CThroughflow
2020,12,1442,1687199574809.0,0.0,4003.441113128982,234519.942580396,1123.6192010267469,10935.302739295743
2021,1,2930,1687199602292.0,0.0,11843.954239205264,606046.8991480132,3324.225824867357,28801.913113631508
2021,2,4418,1687199628027.0,0.0,22735.3275489218,1110617.5556033521,6524.036692104229,50304.57840280729
2021,3,5762,1687199669719.0,0.0,34668.34406518429,1739416.194439149,10571.909154177869,72960.24865627309
2021,4,7250,1687199728390.0,0.0,47747.21587834137,2488665.9025798533,15551.677804207036,96533.93733581892
2021,5,8690,1687199796496.0,0.0,63878.06587184903,3361079.4210094735,22963.19557189229,127516.21117525309
2021,6,10178,1687199910290.0,0.0,81613.67485762936,4351870.07642013,31709.181384326712,165137.4172446975
2021,7,11618,1687200081937.0,0.0,275415.57118996646,5488464.684163519,119055.8396411854,209344.04826327311
2021,8,13106,1687200092084.0,0.0,501139.3427271141,6972525.062324059,238314.36453045148,254741.7309450487
2021,9,14594,1687200100136.0,0.0,758784.2338511284,8800916.44511947,389484.03757755086,301273.94287337427
2021,10,16034,1687200108077.0,0.0,1048304.7627739498,10970399.152891997,572520.4346734572,348253.15480169974
2021,11,17522,1687200117457.0,0.0,1398633.6474917254,14109888.214596622,815113.8266893183,1016003.943716435
2021,12,18962,1687200137531.0,0.0,1753040.562581282,17349156.587786544,1058680.8522640707,1687052.2310616856
2022,1,20450,1687200168539.0,0.0,2111681.6558168866,20688093.07857363,1303490.5638143893,2376791.45442602
2022,2,21938,1687200199741.0,0.0,2475283.4108662736,24123088.61796646,1549518.2498774838,3082557.6683751815
2022,3,23282,1687200228195.0,0.0,2843180.7968811253,27641042.26592429,1796656.9253025453,3803368.0718910755
2022,4,24770,1687200259450.0,0.0,3215837.4689832767,31231611.74843586,2045028.8660398708,4541268.659241032
2022,5,26210,1687200289675.0,0.0,3597266.504018489,34901624.534743346,2297540.1297235223,5302277.478344335
2022,6,27698,1687200320746.0,0.0,3983699.451323627,38633659.018008605,2551667.3400746468,6084828.766709439
2022,7,29138,1687200358829.0,0.0,4553805.614735189,42524767.97862951,2884652.610091534,6888280.205504559
2022,8,30626,1687200368693.0,0.0,5157481.13493249,46700331.73191581,3251197.8736716574,7692262.938788279
2022,9,32114,1687200376439.0,0.0,5794725.472313605,51158367.888717376,3651302.6177379163,8496764.543778399
2022,10,33554,1687200384277.0,0.0,6465509.897076485,55896692.68852884,4084938.34670192,9301798.606328119
2022,11,35042,1687200393782.0,0.0,7196256.576598461,61483325.212906174,4577284.864697791,10665853.527332751
2022,12,36482,1687200423523.0,0.0,7931611.264438585,67131964.58053388,5070821.922676848,12051322.670333715
2023,1,37970,1687200454586.0,0.0,8671493.61835688,72827808.30966756,5565605.367615728,13456932.523923535
2023,2,39458,1687200485526.0,0.0,9416378.46709836,78557026.17719898,6061620.341600285,14882384.490801375
2023,3,40802,1687200513616.0,0.0,10165200.644571735,84307577.42886607,6558736.1079465775,16324218.011337709
2023,4,42290,1687200545053.0,0.0,10918385.090296265,90059868.47367802,7057073.540020377,17785174.046658915
2023,5,43730,1687200575124.0,0.0,11680199.786274234,95820854.40760766,7559547.415681381,19271124.745841417
2023,6,45218,1687200606573.0,0.0,12447031.83774117,101567221.76492791,8063637.518238622,20781341.325269315
2023,7,46658,1687200645719.0,0.0,13394257.808444139,107455636.71695979,8646587.919702936,22314672.307756018
2023,8,48146,1687200655360.0,0.0,14375140.368907899,113594838.37440282,9263185.609898994,23848506.21767662
2023,9,49634,1687200663237.0,0.0,15389680.52915443,119983560.99516574,9913431.549199846,25382865.32949322
2023,10,51074,1687200671229.0,0.0,16437848.450844372,126620250.17797492,10597296.187971368,26917739.483770575
2023,11,52562,1687200681014.0,0.0,17543715.10214907,134018384.64756277,11337608.097979514,28956484.76067901
2023,12,54002,1687200710853.0,0.0,18654230.82421249,141455537.63939688,12079111.646947132,31016694.321033955
2024,1,55490,1687200741241.0,0.0,19769298.923591673,148898813.20218128,12821848.675851421,33099138.480409615
2024,2,56978,1687200772059.0,0.0,20889391.086680993,156325501.2274422,13565814.527590726,35203645.080496125
2024,3,58370,1687200800156.0,0.0,22013564.77264667,163708689.13206658,14310929.124439642,37328774.27615582
2024,4,59858,1687200830828.0,0.0,23142098.657905955,171019414.01434737,15057269.020306645,39475715.661321536
