current_date.year,current_date.month,cycle,machine_time,runTime,totalNFlows,totalCFlows,TT,CThroughflow
2020,12,1442,1687228525002.0,0.0,4002.317654576922,234405.50367340178,1122.5509675217465,10910.30438984577
2021,1,2930,1687228553114.0,0.0,11841.954657731503,605857.9930321928,3322.3245353873563,28805.45538823156
2021,2,4418,1687228578629.0,0.0,22761.912343332133,1110413.2232704635,6522.5951516774085,50384.090646827375
2021,3,5762,1687228621141.0,0.0,34779.59718799587,1739278.4256738801,10571.982675211868,73148.0810501232
2021,4,7250,1687228681481.0,0.0,48005.34155184929,2488648.889472377,15554.54057330264,96866.06011751904
2021,5,8690,1687228757186.0,0.0,64211.829997685265,3361109.6097672028,22966.456373464112,127911.54487266717
2021,6,10178,1687228868668.0,0.0,81896.78817072789,4351819.928536542,31709.382981871207,165463.2921194791
2021,7,11618,1687229049055.0,0.0,275523.4051776096,5488017.166274335,119050.86554237273,209503.88424390907
2021,8,13106,1687229058718.0,0.0,501071.8772455814,6970183.591327052,238304.19839224944,254732.05393448906
2021,9,14594,1687229067167.0,0.0,758542.3317227027,8795047.35693439,389469.50261960353,301153.52323341905
2021,10,16034,1687229075205.0,0.0,1047888.481173377,10959428.952772642,572501.5880705107,348021.9925323491
2021,11,17522,1687229084594.0,0.0,1397865.8375945517,14088238.569741974,814913.5196169183,1011652.0594219833
2021,12,18962,1687229103793.0,0.0,1752381.9495878855,17317606.435654297,1058311.0109879551,1678992.9045543026
2022,1,20450,1687229135567.0,0.0,2111572.566304445,20647553.593504414,1302961.030245273,2365401.134379785
2022,2,21938,1687229167657.0,0.0,2475901.5879312474,24073697.599373825,1548825.4903473784,3067649.8673919463
2022,3,23282,1687229195889.0,0.0,2844275.4575029933,27581958.089874133,1795791.8056281763,3784482.3205623794
2022,4,24770,1687229227181.0,0.0,3217130.160993934,31164001.47719491,2043980.5131395585,4517943.477739904
2022,5,26210,1687229257403.0,0.0,3598489.1180584286,34825776.24616146,2296304.7423658813,5274438.833712399
2022,6,27698,1687229288331.0,0.0,3984635.664997278,38550289.75106941,2550242.7299325014,6052683.898954262
2022,7,29138,1687229328473.0,0.0,4554239.521547753,42433317.19097414,2883036.757733524,6851776.639361489
2022,8,30626,1687229338140.0,0.0,5157410.849605483,46593257.82516261,3249388.983255463,7651359.765621915
2022,9,32114,1687229346560.0,0.0,5794149.791373019,51027913.40480523,3649299.541710718,8451436.442830343
2022,10,33554,1687229354371.0,0.0,6464424.915199885,55735341.48428245,4082737.368475304,9251960.120038765
2022,11,35042,1687229363862.0,0.0,7193932.131162518,61266193.84122241,4574155.877569617,10594119.743540715
2022,12,36482,1687229393372.0,0.0,7927728.937847295,66859126.48089255,5066755.018742983,11957247.446684234
2023,1,37970,1687229424589.0,0.0,8665727.275724571,72500135.98856647,5560571.404287142,13339195.97300512
2023,2,39458,1687229455581.0,0.0,9408576.448830772,78174355.69280386,6055603.564649767,14740502.815741953
2023,3,40802,1687229483953.0,0.0,10155506.526816167,83866507.26205882,6551734.768611695,16158961.98820661
2023,4,42290,1687229515101.0,0.0,10906958.519548787,89556768.92857724,7049086.355581697,17596820.00682588
2023,5,43730,1687229546093.0,0.0,11667152.139971577,95256868.57237174,7550577.578352608,19059969.649299663
2023,6,45218,1687229577278.0,0.0,12432422.261612253,100944201.8662498,8053683.329849733,20547135.3103115
2023,7,46658,1687229617114.0,0.0,13378149.162140466,106772446.98662971,8635651.275681194,22057497.08171806
2023,8,48146,1687229627229.0,0.0,14357530.094257658,112838908.89030679,9251263.995808193,23568342.492993474
2023,9,49634,1687229635243.0,0.0,15370565.287666015,119142340.705955,9900521.708641607,25079676.759896483
2023,10,51074,1687229643275.0,0.0,16417227.711691994,125681237.30920427,10583397.534198713,26591551.390018642
2023,11,52562,1687229652905.0,0.0,17520180.36606023,132937999.0125954,11321312.138710089,28576230.23012444
2023,12,54002,1687229682826.0,0.0,18627814.25284712,140233451.04740208,12060418.801493019,30582360.15388166
2024,1,55490,1687229713297.0,0.0,19740032.41685978,147536097.10026613,12800760.33988795,32610790.408590082
2024,2,56978,1687229743754.0,0.0,20857421.285597242,154823813.4381797,13542334.559284521,34661434.70848849
2024,3,58370,1687229772298.0,0.0,21979144.450806703,162066933.77017277,14285064.726671185,36732947.207031965
2024,4,59858,1687229802901.0,0.0,23105499.47124843,169235334.11595526,15029029.27112712,38826654.389925696
2024,5,61298,1687229833040.0,0.0,24240500.39341046,176321425.51802483,15777146.255972842,40949138.83547409
2024,6,62786,1687229863284.0,0.0,25380400.975860737,183288818.51172614,16526887.231618097,43099266.130024806
