current_date.year,current_date.month,cycle,machine_time,runTime,totalNFlows,totalCFlows,TT,CThroughflow
2020,12,1442,1687228524969.0,0.0,4003.0334992033027,234399.07731759743,1123.231623886747,10877.666405095764
2021,1,2930,1687228552927.0,0.0,11843.288507624984,605899.4312876208,3323.5928181773565,28752.080914331564
2021,2,4418,1687228578601.0,0.0,22743.92064594217,1110470.152113443,6524.450102917246,50325.38414803739
2021,3,5762,1687228621163.0,0.0,34703.667919680374,1739321.9838613211,10574.806383603867,73097.6282615232
2021,4,7250,1687228681427.0,0.0,47827.455107017275,2488658.7631685343,15557.54794317044,96814.375273469
2021,5,8690,1687228757153.0,0.0,63951.68247248753,3361068.059499834,22971.378083343523,127937.40375957759
2021,6,10178,1687228868617.0,0.0,81602.41299575022,4351768.515198338,31718.153950649048,165680.85075579333
2021,7,11618,1687229049067.0,0.0,275240.7910115798,5488082.204939338,119063.625919296,209966.45055850616
2021,8,13106,1687229058778.0,0.0,500802.6917885914,6962612.683104765,238322.53205510642,255480.77908831896
2021,9,14594,1687229067175.0,0.0,758289.8985333946,8772241.533137102,389496.5679088805,302339.4282688317
2021,10,16034,1687229075242.0,0.0,1047652.7627313109,10913716.199933909,572537.3474657675,349645.0774493444
2021,11,17522,1687229084621.0,0.0,1396718.1094624072,13991390.116663089,814029.2486808347,993152.3950068821
2021,12,18962,1687229103849.0,0.0,1750303.2778533183,17169589.75468633,1056506.2196000214,1640353.506705235
2022,1,20450,1687229135589.0,0.0,2108541.5409816364,20447900.97619005,1300232.1624926084,2306730.888949622
2022,2,21938,1687229167688.0,0.0,2471876.840748223,23817333.174552683,1545191.232172066,2991503.622394323
2022,3,23282,1687229195806.0,0.0,2839145.4544240264,27269915.566166356,1791236.3165363017,3690006.557794884
2022,4,24770,1687229227200.0,0.0,3210780.398160841,30793557.594912067,2038494.7942583715,4405038.872374189
2022,5,26210,1687229257384.0,0.0,3591046.1663702903,34396715.938511655,2289883.3753767023,5142680.977263474
2022,6,27698,1687229288289.0,0.0,3976326.145734256,38063709.243935645,2542882.718229572,5901875.544932989
2022,7,29138,1687229328475.0,0.0,4545289.529405289,41889496.105071,2874734.8397667706,6681587.307144172
2022,8,30626,1687229338191.0,0.0,5147822.743611202,45972539.00689364,3240147.365305039,7461859.752691904
2022,9,32114,1687229346551.0,0.0,5783924.75558929,50310573.42577954,3639119.312848453,8242669.585320836
2022,10,33554,1687229354327.0,0.0,6453565.5557145635,54901173.543583095,4071620.969897022,9024001.905030968
2022,11,35042,1687229363606.0,0.0,7180073.811863139,60243240.15690649,4559738.687143148,10294641.953642387
2022,12,36482,1687229393594.0,0.0,7911265.728406698,65651362.03012827,5049046.8794932915,11586599.599975994
2023,1,37970,1687229424570.0,0.0,8647045.372378,71093022.80603355,5539589.494361058,12900820.732945345
2023,2,39458,1687229455702.0,0.0,9387948.007637838,76550588.45691283,6031352.545679687,14235776.252922297
2023,3,40802,1687229483913.0,0.0,10132944.712049522,82021090.26151419,6524215.354462578,15587900.274190934
2023,4,42290,1687229515105.0,0.0,10882480.06357731,87473242.93793273,7018301.388181001,16960253.759433024
2023,5,43730,1687229545751.0,0.0,11640548.668102264,92914835.84287518,7516522.611812052,18358681.155300096
2023,6,45218,1687229577290.0,0.0,12403401.931912506,98339340.87413007,8016345.092265638,19780328.359934594
