current_date.year,current_date.month,cycle,machine_time,runTime,totalNFlows,totalCFlows,TT,CThroughflow
2020,12,1442,1687228525023.0,0.0,4002.5674937732824,234520.49480170617,1122.7885255517467,10889.581685845764
2021,1,2930,1687228553017.0,0.0,11843.293548137859,606202.5375532769,3323.597610917356,28837.54666063156
2021,2,4418,1687228578608.0,0.0,22784.224851052066,1111112.319539642,6527.434376288229,50591.377342157364
2021,3,5762,1687228621153.0,0.0,34859.64654751016,1740409.00242268,10583.306608202873,73671.18243412317
2021,4,7250,1687228681499.0,0.0,48182.54298314825,2490259.208569298,15574.356805102048,97774.03891136897
2021,5,8690,1687228757129.0,0.0,64563.14421823434,3363363.7471394213,22996.78168576175,129275.9899044487
2021,6,10178,1687228868690.0,0.0,82504.4894273183,4354822.649091776,31751.986271130052,167364.88064415593
2021,7,11618,1687229049023.0,0.0,276468.52936003706,5492326.764431149,119106.49386235872,211984.43608010648
2021,8,13106,1687229058731.0,0.0,502355.70827376365,6975668.096315945,238374.07411552256,257813.97156915703
2021,9,14594,1687229067172.0,0.0,760164.6467453605,8801793.118752984,389553.41541479895,304825.3625821574
2021,10,16034,1687229075171.0,0.0,1049849.3120353464,10967396.684869336,572599.5697824648,352283.7535951578
2021,11,17522,1687229084684.0,0.0,1400211.0231216422,14098046.829773752,815071.4090714403,1017167.6146280735
2021,12,18962,1687229103857.0,0.0,1754910.5799324436,17328915.62816293,1058523.6074618583,1685582.0337116087
2022,1,20450,1687229135586.0,0.0,2114093.435424488,20660017.271476526,1303224.810718463,2373035.5498037236
2022,2,21938,1687229167678.0,0.0,2478263.428507585,24086825.25785083,1549144.0971262972,3076831.094257836
2022,3,23282,1687229195804.0,0.0,2846433.397891141,27595851.488640785,1796163.8843450127,3795251.0275743515
2022,4,24770,1687229227218.0,0.0,3219036.8302990585,31176752.449094478,2044406.7592678748,4530406.598028791
2022,5,26210,1687229257456.0,0.0,3600376.340521041,34836375.94566177,2296788.7077773456,5288652.354499779
2022,6,27698,1687229288330.0,0.0,3986841.211365212,38558227.71230187,2550793.7802905715,6069056.157789317
2022,7,29138,1687229328429.0,0.0,4557098.154137473,42439416.02918539,2883661.7443570998,6870299.431640709
2022,8,30626,1687229338202.0,0.0,5160923.539716794,46537646.30698121,3250088.8450062023,7672048.501024551
2022,9,32114,1687229346545.0,0.0,5798318.994211021,50850768.165698305,3650076.628412306,8474340.693686692
2022,10,33554,1687229354429.0,0.0,6469253.21740689,55376615.65784074,4083594.1549276737,9277130.527865632
2022,11,35042,1687229363647.0,0.0,7193051.9715818865,60522341.17512921,4568724.809606277,10478221.596651096
2022,12,36482,1687229393514.0,0.0,7921436.643016838,65734005.761931345,5055045.431040443,11700722.009707825
2023,1,37970,1687229424591.0,0.0,8654313.087013125,70978691.05878139,5542597.912220026,12945407.72015317
2023,2,39458,1687229455695.0,0.0,9392351.65061598,76233899.63502763,6031381.24271264,14212169.638186013
2023,3,40802,1687229483928.0,0.0,10134689.219584886,81475926.04630695,6521283.829652373,15499183.440146646
2023,4,42290,1687229515106.0,0.0,10881785.605687529,86671781.81862427,7012424.836548698,16808550.16348577
2023,5,43730,1687229545738.0,0.0,11637544.21626121,91814350.11060826,7507709.459783295,18146642.65558086
2023,6,45218,1687229577294.0,0.0,12398153.11240769,96881918.81596728,8004605.545257508,19510853.67432113
2023,7,46658,1687229617081.0,0.0,13338988.408693822,102088662.36006007,8580356.577771232,20898440.994430605
2023,8,48146,1687229627218.0,0.0,14313481.18183303,107545617.9783406,9189755.751876123,22286546.94864948
2023,9,49634,1687229635247.0,0.0,15321630.173908588,113251672.03637686,9832801.871489966,23675143.229322307
2023,10,51074,1687229643273.0,0.0,16363404.642376537,119205390.79701975,10509464.527221378,25064198.93277733
2023,11,52562,1687229652947.0,0.0,17462593.78957546,125914456.59324037,11242290.434673099,26951342.167868383
2023,12,54002,1687229682773.0,0.0,18566179.543731786,132661349.36238012,11976299.489182651,28859563.19673795
2024,1,55490,1687229713132.0,0.0,19674076.22391255,139414594.2404912,12711534.59617181,30789731.26686316
2024,2,56978,1687229743694.0,0.0,20786802.640589084,146150308.5101084,13447994.472917054,32741855.780138858
