current_date.year,current_date.month,cycle,machine_time,runTime,totalNFlows,totalCFlows,TT,CThroughflow
2020,12,1442,1687214026709.0,0.0,4001.7919800595596,234534.75089058434,1122.0511332099766,10931.697160472086
2021,1,2930,1687214054573.0,0.0,11841.185744322458,606048.1649527047,3321.593418903816,28812.297175284213
2021,2,4418,1687214080365.0,0.0,22789.072050753257,1110813.168913198,6522.562183840498,50453.20678635631
2021,3,5762,1687214122023.0,0.0,34890.3018758048,1739914.843686951,10574.944746454788,73353.30402792836
2021,4,7250,1687214183672.0,0.0,48260.63917241143,2489583.43536724,15562.539286851787,97269.23272875034
2021,5,8690,1687214253979.0,0.0,64640.665713279835,3362412.6273916904,22979.371996314578,128560.64585690512
2021,6,10178,1687214368094.0,0.0,82507.13768789532,4353514.19331627,31726.7390176455,166414.01438205462
2021,7,11618,1687214560710.0,0.0,276322.102465954,5490400.083658024,119071.17115350359,210769.67435280277
2021,8,13106,1687214570369.0,0.0,502059.2710737556,6969477.498797487,238327.76526555268,256324.2365448509
2021,9,14594,1687214578572.0,0.0,759719.6250343525,8787600.597216683,389497.4546288198,303131.20753724896
2021,10,16034,1687214586393.0,0.0,1049255.268370993,10941539.138594573,572533.5196181305,350385.17852964695
2021,11,17522,1687214595825.0,0.0,1399080.422830325,14047949.389019659,814607.7348551337,1006146.5489472579
2021,12,18962,1687214615421.0,0.0,1753560.0401039196,17255113.31999949,1057670.5050976593,1665722.4893412038
2022,1,20450,1687214646611.0,0.0,2112824.3592173364,20562768.20832737,1301987.9067881007,2344713.6641247133
2022,2,21938,1687214677999.0,0.0,2477406.003078651,23965461.404312287,1547527.0325130536,3040433.171348715
2022,3,23282,1687214706377.0,0.0,2846215.410860148,27450688.213570863,1794165.7315007756,3750586.257158259
2022,4,24770,1687214737710.0,0.0,3219715.7603326263,31009194.281340703,2042031.5166925841,4477752.019967408
2022,5,26210,1687214767952.0,0.0,3601868.9900409533,34646989.84378614,2294029.4374678023,5227735.751123991
2022,6,27698,1687214799049.0,0.0,3988901.134023231,38348668.108311586,2547635.6527034245,5999247.470945498
2022,7,29138,1687214838607.0,0.0,4559484.364611489,42210525.40741166,2880094.8511617137,6791556.409573823
2022,8,30626,1687214848684.0,0.0,5163632.362323835,46343845.95255642,3246109.598878941,7584330.413296949
2022,9,32114,1687214856865.0,0.0,5801345.8463095995,50746610.05940556,3645680.579653733,8377586.210583624
2022,10,33554,1687214864604.0,0.0,6472593.945591914,55416678.29740766,4078777.2619750733,9171289.0078703
2022,11,35042,1687214873993.0,0.0,7202752.970988379,60895404.8653134,4569533.503127927,10497319.329771597
2022,12,36482,1687214903666.0,0.0,7937401.633805027,66438681.431952864,5061472.810465853,11844288.532302504
2023,1,37970,1687214934889.0,0.0,8676426.681679279,72027428.91281517,5554615.469981403,13210054.058839984
2023,2,39458,1687214966047.0,0.0,9420370.627340622,77649484.85424308,6048966.535071258,14594710.102032494
2023,3,40802,1687214994217.0,0.0,10168277.558812844,83290878.91797343,6544413.280142766,15996578.465940863
2023,4,42290,1687215025467.0,0.0,10920578.246755784,88923487.8157916,7041078.961466594,17418415.24308523
