current_date.year,current_date.month,cycle,machine_time,runTime,totalNFlows,totalCFlows,TT,CThroughflow
2020,12,1442,1687185165921.0,0.0,4001.923568252862,234395.08676371307,1122.176253016747,10844.997713695751
2021,1,2930,1687185193658.0,0.0,11841.94978412302,605856.0996372119,3322.319901347357,28691.54093773151
2021,2,4418,1687185219120.0,0.0,22792.838477369205,1110562.42462708,6524.850586672978,50319.20537163227
2021,3,5762,1687185258103.0,0.0,34900.22485149375,1739654.5943270219,10579.264906260369,73247.05801852302
2021,4,7250,1687185316822.0,0.0,48279.739117160374,2489327.612344969,15568.962878062037,97201.56809396876
2021,5,8690,1687185392429.0,0.0,64673.330998512734,3362161.0894011394,22989.32513725445,128548.98548185712
2021,6,10178,1687185503645.0,0.0,82556.0064675202,4353226.729685809,31740.614464911185,166424.57978941128
2021,7,11618,1687185696000.0,0.0,276390.2872593489,5490115.368017119,119089.79722502295,210790.18041448548
2021,8,13106,1687185705785.0,0.0,502146.01980142476,6881757.771179846,238350.4451466683,256313.5717849597
2021,9,14594,1687185714168.0,0.0,759835.6538684792,8524780.561540877,389534.39601992315,303567.3172959838
2021,10,16034,1687185722023.0,0.0,1049423.5583284143,10416179.042428149,572606.5921700859,352283.92965615756
2021,11,17522,1687185731453.0,0.0,1389817.4408205445,12959473.360454261,805232.6634489456,796900.8923432452
2021,12,18962,1687185754007.0,0.0,1734511.0016107273,15603257.067631263,1039039.2290311005,1262493.066306559
2022,1,20450,1687185785036.0,0.0,2083421.8771482178,18319588.9082651,1274068.712434845,1749903.5928959434
2022,2,21938,1687185816236.0,0.0,2437224.242802893,21086465.907360353,1510317.5681951477,2258746.286625134
2022,3,23282,1687185844202.0,0.0,2795168.451023324,23883980.496744256,1747667.7656379673,2786510.886901235
2022,4,24770,1687185875695.0,0.0,3157673.2613625648,26712881.00732802,1986213.5257284918,3331789.55418577
2022,5,26210,1687185906833.0,0.0,3528777.151183986,29594942.98288239,2228864.4387636813,3899660.6555855083
2022,6,27698,1687185937685.0,0.0,3904736.4502259553,32510138.77169073,2473086.138695104,4488358.149027217
2022,7,29138,1687185976074.0,0.0,4464208.741322879,35582383.878350504,2796109.5062666032,5095345.572953101
2022,8,30626,1687185985569.0,0.0,5057250.786549929,38891312.86532333,3152693.354181888,5702823.382732186
2022,9,32114,1687185993464.0,0.0,5683863.439122396,42434895.48452664,3542838.4937153603,6310810.568933268
2022,10,33554,1687186001411.0,0.0,6344016.496098286,46210970.38547647,3966515.02855277,6919288.650666801
2022,11,35042,1687186010710.0,0.0,7058563.891887921,50662581.14954685,4443334.49491048,7961762.615136502
2022,12,36482,1687186040170.0,0.0,7777793.363866049,55179045.12426438,4921342.930039416,9025420.391625538
2023,1,37970,1687186071018.0,0.0,8501591.706454534,59743988.60517695,5400567.85779965,10107780.6873608
2023,2,39458,1687186101819.0,0.0,9230515.528655764,64343523.84378768,5881007.399776604,11209143.127467077
2023,3,40802,1687186129805.0,0.0,9963547.164162286,68964218.66846028,6362543.748994164,12327410.799248163
2023,4,42290,1687186160553.0,0.0,10701125.850773558,73588071.5733125,6845293.578965133,13464312.48871436
2023,5,43730,1687186190670.0,0.0,11447270.909765068,78223835.83511354,7332173.739488263,14626186.414159957
2023,6,45218,1687186221922.0,0.0,12198248.939191759,82850643.1603616,7820661.875402212,15811904.09182389
2023,7,46658,1687186260893.0,0.0,13129434.525882022,87617597.04023437,8388000.017188317,17020294.20410516
