current_date.year,current_date.month,cycle,machine_time,runTime,totalNFlows,totalCFlows,TT,CThroughflow
2020,12,1442,1687228525023.0,0.0,4001.893617258282,234424.93975790695,1122.147774301747,10846.368220345761
2021,1,2930,1687228553019.0,0.0,11842.272819244004,605885.1258857127,3322.6270572623566,28714.333819781605
2021,2,4418,1687228578676.0,0.0,22812.15830342412,1110593.5415207306,6523.396558062919,50258.06626884245
2021,3,5762,1687228621131.0,0.0,34980.578247171994,1739706.9334622747,10577.237825387372,73130.5100390233
2021,4,7250,1687228681503.0,0.0,48467.93569335687,2489474.71897111,15567.933850991845,97093.61665271915
2021,5,8690,1687228757142.0,0.0,65053.75205215828,3362605.3928367286,22990.666164655235,128505.1594982828
2021,6,10178,1687228868648.0,0.0,83218.3820503622,4354134.639875072,31746.71047299536,166555.32472932112
2021,7,11618,1687229049029.0,0.0,277423.12970197987,5492012.769326899,119101.99890775388,211166.0627172063
2021,8,13106,1687229058777.0,0.0,503550.70956182247,6966253.645751788,238370.05265735686,256998.59109519148
2021,9,14594,1687229067121.0,0.0,761601.4542703612,8773675.752180934,389551.188010906,304090.4269254765
2021,10,16034,1687229075204.0,0.0,1051527.6073411973,10911051.769725595,572598.8179767525,351629.2627557615
2021,11,17522,1687229084608.0,0.0,1400841.7513871407,13976342.193110203,813783.0780427072,988979.3301201266
2021,12,18962,1687229103833.0,0.0,1754532.6608662973,17141916.840010244,1055948.704680041,1629894.8673000666
2022,1,20450,1687229135591.0,0.0,2112738.0710949805,20407582.92157868,1299358.4677746068,2289772.501458981
2022,2,21938,1687229167566.0,0.0,2476063.148985253,23764751.760719426,1543997.7812443818,2967876.888672314
2022,3,23282,1687229195880.0,0.0,2843564.7341566407,27204196.98862538,1789729.242477135,3660150.780828117
2022,4,24770,1687229227176.0,0.0,3215701.232000153,30716626.016226623,2036680.2528647124,4368962.527508009
2022,5,26210,1687229257472.0,0.0,3596439.0318400804,34309508.02602535,2287759.988497669,5100355.700749536
2022,6,27698,1687229288329.0,0.0,3982010.340077965,37965896.49908061,2540442.0918913977,5853034.3701707525
2022,7,29138,1687229328421.0,0.0,4551089.279707089,41780802.57034423,2871973.0912234313,6626156.753770634
2022,8,30626,1687229338172.0,0.0,5153734.082460252,45838929.14690295,3237060.6798931663,7399769.523223715
2022,9,32114,1687229346572.0,0.0,5789945.551397978,50138233.76015262,3635705.621485654,8173890.759026595
2022,10,33554,1687229354444.0,0.0,6459692.305024564,54676595.63095771,4067876.8990662573,8948474.820303477
2022,11,35042,1687229363840.0,0.0,7184853.676049527,59919415.76735452,4554211.321327857,10179492.56382625
2022,12,36482,1687229393373.0,0.0,7914726.088186003,65227462.239660904,5041738.902714309,11432027.344976023
2023,1,37970,1687229424572.0,0.0,8649211.34553624,70569136.92347622,5530502.3875239175,12706916.689210078
2023,2,39458,1687229455665.0,0.0,9388787.796007263,75921618.29861993,6020497.083127784,14003987.935412826
2023,3,40802,1687229483951.0,0.0,10132352.45243926,81260060.1571127,6511602.165112356,15321008.045104364
2023,4,42290,1687229515260.0,0.0,10880316.978984755,86573365.22490737,7003921.7288006395,16657715.299156634
2023,5,43730,1687229545817.0,0.0,11636960.334826373,91875446.67592742,7500378.593444531,18020465.01677922
2023,6,45218,1687229577282.0,0.0,12398662.26675925,97141050.22081178,7998452.64080916,19408041.040147673
