current_date.year,current_date.month,cycle,machine_time,runTime,totalNFlows,totalCFlows,TT,CThroughflow
2020,12,1442,1687214026661.0,0.0,4001.7481266928016,234481.15338047929,1122.009435511747,10873.59039854576
2021,1,2930,1687214054679.0,0.0,11839.756501747843,605953.2525635606,3320.234432582357,28677.84292258153
2021,2,4418,1687214080371.0,0.0,22775.614374641977,1110595.2348840556,6520.10907906345,50218.83492058732
2021,3,5762,1687214122022.0,0.0,34843.49662663236,1739592.3277167846,10571.360583598871,73031.79870277311
2021,4,7250,1687214183688.0,0.0,48156.81373094381,2489161.1504760887,15557.71728813944,96874.2908605189
2021,5,8690,1687214253980.0,0.0,64485.892612130774,3361901.098123171,22974.366579281483,128114.05082364447
2021,6,10178,1687214368096.0,0.0,82320.74771106972,4352935.771048182,31722.113015634215,165920.60147178144
2021,7,11618,1687214560664.0,0.0,276123.574893197,5489750.342020742,119067.6506320154,210240.36669149811
2021,8,13106,1687214570317.0,0.0,501848.76296051365,6955918.448847797,238325.50568427827,255783.06352381478
2021,9,14594,1687214578626.0,0.0,759500.9055393677,8748330.915913198,389500.04599317187,302755.09420523135
2021,10,16034,1687214586449.0,0.0,1049028.4620868019,10863729.557386898,572541.0865206454,350174.12488664786
2021,11,17522,1687214595811.0,0.0,1397196.0212716416,13882896.66206356,812970.7688105248,970220.282460653
2021,12,18962,1687214615324.0,0.0,1749678.2847325664,17002242.700001184,1054380.211165668,1593776.2397385482
2022,1,20450,1687214646867.0,0.0,2106606.075037664,20222253.994388137,1297023.2786079093,2235803.5178662525
2022,2,21938,1687214678042.0,0.0,2468530.7340884507,23534620.123525895,1540876.3451537418,2895504.702633566
2022,3,23282,1687214706372.0,0.0,2834515.699226452,26922830.697363846,1785824.8878325552,3571073.706959799
2022,4,24770,1687214737660.0,0.0,3204982.763898545,30381898.874495514,2031973.690536137,4262658.510430644
2022,5,26210,1687214767952.0,0.0,3584020.6983428616,33921254.42658999,2282247.6802068744,4976729.117212298
2022,6,27698,1687214799082.0,0.0,3967926.693023642,37524516.848540016,2534125.9945184626,5712155.388968019
2022,7,29138,1687214839059.0,0.0,4535372.070732566,41285332.772097625,2864852.5325947944,6468111.893287447
2022,8,30626,1687214848480.0,0.0,5136383.465046611,45328344.206944175,3229135.7615170856,7224583.450826727
2022,9,32114,1687214856661.0,0.0,5770960.75566943,49651410.78010764,3626975.5669023097,7981567.074688804
2022,10,33554,1687214864492.0,0.0,6439072.839168058,54252415.8913284,4058341.1962100347,8739022.900510784
2022,11,35042,1687214873959.0,0.0,7166946.709039526,59694426.29660172,4548217.138008196,10050556.881513769
2022,12,36482,1687214903791.0,0.0,7899324.825522535,65199068.194282085,5039280.307565305,11383364.343272563
2023,1,37970,1687214934877.0,0.0,8636129.550881904,70749992.37221986,5531585.25005941,12736119.736773985
2023,2,39458,1687214966001.0,0.0,9377928.210965876,76337318.47945695,6025115.494417663,14107746.038112188
2023,3,40802,1687214994232.0,0.0,10123798.36368012,81949647.19941297,6519751.008470146,15495819.55427272
2023,4,42290,1687215025449.0,0.0,10874176.549620744,87564237.3156639,7015610.508011442,16902984.20827818
2023,5,43730,1687215056013.0,0.0,11633261.278845772,93189186.33726348,7515607.356656232,18335301.941023055
2023,6,45218,1687215087603.0,0.0,12397389.672140008,98802900.47841495,8017220.197870177,19791518.10383222
2023,7,46658,1687215127668.0,0.0,13341939.930365743,104558438.76231174,8597694.690911584,21270986.987015802
2023,8,48146,1687215137341.0,0.0,14320141.349572629,110499027.48310174,9211811.085128095,22750939.925862987
2023,9,49634,1687215145462.0,0.0,15331995.067381058,116623566.00373378,9859570.462218916,24231402.24113217
2023,10,51074,1687215153498.0,0.0,16377471.172556167,122930523.29517654,10540943.203237692,25712361.841522653
2023,11,52562,1687215163281.0,0.0,17473925.418842115,129783041.58518413,11272042.629501756,27546897.534567066
2023,12,54002,1687215193051.0,0.0,18574682.19776917,136673220.3160745,12004324.29115488,29402548.83565811
2024,1,55490,1687215223995.0,0.0,19679658.04166465,143570024.5525265,12737829.60139203,31280074.38593071
2024,2,56978,1687215254071.0,0.0,20789471.999359373,150449543.82569942,13472559.32566595,33179519.546354026
2024,3,58370,1687215282697.0,0.0,21903466.569473583,157287763.67145932,14208440.327363184,35099652.52404722
2024,4,59858,1687215313339.0,0.0,23021929.618918262,164051626.90925947,14945551.57591848,37041863.1823002
2024,5,61298,1687215343187.0,0.0,24149083.206815522,170730806.4936389,15686818.190842804,39013015.70652694
2024,6,62786,1687215373837.0,0.0,25281267.53982112,177286293.9308944,16429714.837885745,41012119.79231612
2024,7,64226,1687215414655.0,0.0,26592810.630965844,183958904.450336,17251484.55703265,43038060.64946852
2024,8,65714,1687215422156.0,0.0,27938792.6385816,190922902.98349813,18107683.932844553,45064485.56228452
2024,9,67202,1687215429839.0,0.0,29319212.567250475,198177930.74438322,18998312.018834576,47091372.37510053
2024,10,68642,1687215437536.0,0.0,30734043.91129671,205722841.9607023,19923342.43421084,49118784.899491794
2024,11,70130,1687215446696.0,0.0,32214293.927304372,214238586.4375974,20912540.16067353,51816873.08827811
2024,12,71570,1687215476295.0,0.0,33698733.62172854,222768042.85402185,21902914.975376178,54535788.585778914
2025,1,73058,1687215506885.0,0.0,35187286.12266372,231282021.6571508,22894510.41302902,57276479.21392611
2025,2,74546,1687215537776.0,0.0,36680607.156945504,239757218.1606965,23887327.103366766,60038914.70069937
2025,3,75890,1687215564950.0,0.0,38177976.69166894,248172393.02919117,24881254.180394303,62821210.880553044
