current_date.year,current_date.month,cycle,machine_time,runTime,totalNFlows,totalCFlows,TT,CThroughflow
2020,12,1442,1687214026625.0,0.0,4002.2650963813617,234479.683977173,1122.5009928917468,10859.696629045742
2021,1,2930,1687214054674.0,0.0,11842.478428774364,606050.9903818506,3322.8225597923574,28760.177356181535
2021,2,4418,1687214080370.0,0.0,22709.431043276985,1110606.3752887768,6523.11596699778,50327.10790188235
2021,3,5762,1687214121995.0,0.0,34569.92409505806,1739408.995557728,10572.10286409037,73100.38690882322
2021,4,7250,1687214183661.0,0.0,47520.46519683505,2488601.697611845,15551.260316218038,96734.7941621691
2021,5,8690,1687214253980.0,0.0,63477.83249435372,3360886.74701366,22962.131349379262,127776.9715932958
2021,6,10178,1687214368076.0,0.0,81007.53360555206,4351519.220442728,31707.287997490846,165432.19340587835
2021,7,11618,1687214560434.0,0.0,274571.5288800155,5487675.21342195,119053.2567603367,209656.1831136468
2021,8,13106,1687214570348.0,0.0,500057.45144645707,6901368.028752364,238311.15751747665,255038.40059391526
2021,9,14594,1687214578554.0,0.0,757476.4672092381,8589101.962806635,389491.60729891167,302088.0792926835
2021,10,16034,1687214586615.0,0.0,1046789.1027300704,10548123.120457364,572555.8949972428,350355.6837486516
2021,11,17522,1687214596306.0,0.0,1389448.8381306527,13237896.566500094,807715.7002040872,850331.6406677542
2021,12,18962,1687214615457.0,0.0,1736870.4245941886,16028251.361510696,1044061.5188004524,1371136.4053255734
2022,1,20450,1687214646972.0,0.0,2088960.9777222343,18891506.140525136,1281643.398363029,1914232.131656524
2022,2,21938,1687214678003.0,0.0,2446135.4129266324,21815217.532782763,1520432.9455168117,2476817.3395285173
2022,3,23282,1687214706368.0,0.0,2807220.628612203,24796750.07901002,1760300.571073727,3054621.8443372836
2022,4,24770,1687214737706.0,0.0,3172642.0453935694,27813286.69435672,2001367.876840202,3650481.92886223
2022,5,26210,1687214767903.0,0.0,3546569.831334067,30882704.936030153,2246539.7345701368,4269096.708079056
2022,6,27698,1687214799083.0,0.0,3925357.0159786777,33995632.078387074,2493290.861995024,4908623.689261035
2022,7,29138,1687214839060.0,0.0,4487667.106747821,37266986.52237298,2818857.750927897,5567373.4900163505
2022,8,30626,1687214848497.0,0.0,5083548.497233867,40797406.92186158,3177986.583886808,6226652.000003067
2022,9,32114,1687214856672.0,0.0,5713000.771844859,44584855.282748185,3570676.9657087554,6886449.144099183
2022,10,33554,1687214864612.0,0.0,6375991.6749233,48627296.59316621,3996897.048267855,7546699.6183849
2022,11,35042,1687214873997.0,0.0,7095902.703888204,53424176.93231023,4478785.83292708,8697381.512525788
2022,12,36482,1687214903646.0,0.0,7820349.75078284,58283703.859678484,4961862.866451732,9869367.60221454
2023,1,37970,1687214934920.0,0.0,8549253.086673891,63190263.237257995,5446181.891339696,11061211.717609998
